"영업월","역사","승하차 구분","00시 통행량","01시 통행량","02시 통행량","03시 통행량","04시 통행량","05시 통행량","06시 통행량","07시 통행량","08시 통행량","09시 통행량","10시 통행량","11시 통행량","12시 통행량","13시 통행량","14시 통행량","15시 통행량","16시 통행량","17시 통행량","18시 통행량","19시 통행량","20시 통행량","21시 통행량","22시 통행량","23시 통행량"
"2024-10","판암역","승차","22","4","0","0","30","2741","4846","12384","16814","9382","7252","7015","7672","7321","6502","6622","7164","7880","8382","3529","2485","1770","1186","483"
"2024-10","판암역","하차","929","4","0","0","8","405","1649","3804","7223","4077","4302","4685","5368","5718","6017","7788","9462","9709","13496","6879","5207","5598","5396","2140"
"2024-10","현충원역","승차","17","0","1","0","4","429","895","3279","7209","3413","3486","3904","4739","5482","5212","5747","7891","7019","6291","3034","1933","1966","946","162"
"2024-10","현충원역","하차","114","0","0","0","5","167","1020","3105","6807","6960","3996","4015","3668","3939","2434","2717","3165","3885","4916","2289","2091","2047","2230","887"
"2024-11","갈마역","승차","27","0","0","0","1","1983","3091","7324","12581","6728","4848","4752","4773","4860","4411","4575","5508","5713","5497","3279","2442","2325","1310","933"
"2024-11","갈마역","하차","434","0","0","0","0","554","1048","2044","3692","2946","2918","3640","4598","4737","4995","5827","7146","8478","11399","6406","4656","4796","4016","2780"
"2024-11","갑천역","승차","6","0","0","0","1","406","1023","2211","4735","2227","1478","1235","1449","1611","1557","1678","1744","2369","2826","1081","920","719","348","230"
"2024-11","갑천역","하차","70","0","0","0","0","159","532","1191","2789","1201","1347","1411","1609","1532","1539","1734","2046","2180","3694","1869","1364","1316","999","707"
"2024-11","구암역","승차","9","0","0","0","2","1397","2002","5498","10657","5487","5148","5659","5629","6119","5722","6686","6757","6577","7056","4193","2971","1922","1280","571"
"2024-11","구암역","하차","198","0","0","0","1","276","1726","3634","6407","5384","5401","5508","5559","5323","5502","5861","6094","7854","9881","4643","3676","3658","2650","1495"
"2024-11","노은역","승차","102","0","0","0","0","962","2440","7431","12481","6927","5876","6242","6971","6390","6553","7503","8630","9544","10337","5779","5049","4841","4260","1918"
"2024-11","노은역","하차","542","0","0","0","0","380","963","4068","8172","7273","5186","5536","6096","7418","7975","8847","11030","11525","15749","8424","5445","5331","4562","2678"
"2024-11","대동역","승차","29","0","0","0","32","2439","3618","10192","15885","7993","6606","6142","6965","6742","6109","7853","10443","10833","10015","4347","3075","2709","1768","1119"
